"","N.patches","out1","outk","diff","out.pred.1","out.pred.k","max.inf.1","max.inf.k"
"54",53,29.947148892087,29.936071603923,0.000370031456046698,29.7787297207569,29.7747521412254,9052.18312018172,9049.14719098459
"55",54,29.947148892087,29.9363480139993,0.000360794779731934,29.7787297207569,29.7747507435053,9052.18312018172,9049.13925170372
"56",55,29.947148892087,29.9371926874906,0.000332569746944954,29.7787297207569,29.774749396624,9052.18312018172,9049.07780629758
"57",56,29.947148892087,29.9373967353382,0.000325751662210051,29.7787297207569,29.7747480978571,9052.18312018172,9049.02085449577
"58",57,29.947148892087,29.9386247049489,0.000284722067967402,29.7787297207569,29.7747468446718,9052.18312018172,9048.96251408683
"59",58,29.947148892087,29.9387536792118,0.000280412904460848,29.7787297207569,29.7747456347099,9052.18312018172,9049.02307270114
"60",59,29.947148892087,29.9392112464357,0.000265125409814907,29.7787297207569,29.7747444657731,9052.18312018172,9049.01674730522
"61",60,29.947148892087,29.940044465856,0.00023728843285565,29.7787297207569,29.7747433358095,9052.18312018172,9048.96196021224
"62",61,29.947148892087,29.9407160444788,0.000214852831128136,29.7787297207569,29.7747422429022,9052.18312018172,9049.01705761227
"63",62,29.947148892087,29.9401471915856,0.000233856582485045,29.7787297207569,29.7747411852576,9052.18312018172,9049.07197530991
"64",63,29.947148892087,29.9400965007475,0.000235550053731284,29.7787297207569,29.7747401611963,9052.18312018172,9049.10570350756
"65",64,29.947148892087,29.9401876510114,0.000232504924707479,29.7787297207569,29.7747391691437,9052.18312018172,9049.15496296814
"66",65,29.947148892087,29.9414723664477,0.000189587391354464,29.7787297207569,29.774738207622,9052.18312018172,9049.09888920671
"67",66,29.947148892087,29.9417904821866,0.000178960904277561,29.7787297207569,29.7747372752434,9052.18312018172,9049.14631649805
"68",67,29.947148892087,29.9411189389058,0.000201393715227797,29.7787297207569,29.7747363707026,9052.18312018172,9049.10169886299
"69",68,29.947148892087,29.9407504862514,0.000213702253003803,29.7787297207569,29.7747354927712,9052.18312018172,9049.05647938392
"70",69,29.947148892087,29.9413773766566,0.000192760518588984,29.7787297207569,29.7747346402921,9052.18312018172,9049.10010560899
