"","beta","gamma","N","muw","state"
"569",0.07,0.8,100,0.28,FALSE
"570",0.07,0.8,100,0.29,FALSE
"571",0.07,0.8,100,0.3,FALSE
"572",0.07,0.8,100,0.31,FALSE
"573",0.07,0.8,100,0.32,FALSE
"574",0.07,0.8,100,0.33,FALSE
"575",0.07,0.8,100,0.34,FALSE
"576",0.07,0.8,100,0.35,FALSE
"577",0.07,0.8,100,0.36,FALSE
"578",0.07,0.8,100,0.37,FALSE
"579",0.07,0.8,100,0.38,FALSE
"580",0.07,0.8,100,0.39,FALSE
"581",0.07,0.8,100,0.4,FALSE
"582",0.07,0.8,100,0.41,FALSE
"583",0.07,0.8,100,0.42,FALSE
"584",0.07,0.8,100,0.43,FALSE
"585",0.07,0.8,100,0.44,FALSE
"586",0.07,0.8,100,0.45,FALSE
"587",0.07,0.8,100,0.46,FALSE
"588",0.07,0.8,100,0.47,FALSE
"589",0.07,0.8,100,0.48,FALSE
"590",0.07,0.8,100,0.49,FALSE
"591",0.07,0.8,100,0.5,FALSE
"592",0.07,0.8,100,0.51,FALSE
"593",0.07,0.8,100,0.52,FALSE
"594",0.07,0.8,100,0.53,FALSE
"595",0.07,0.8,100,0.54,FALSE
"596",0.07,0.8,100,0.55,FALSE
"597",0.07,0.8,100,0.56,FALSE
"598",0.07,0.8,100,0.57,FALSE
"599",0.07,0.8,100,0.58,FALSE
"600",0.07,0.8,100,0.59,FALSE
"601",0.07,0.8,100,0.6,FALSE
"602",0.07,0.8,100,0.61,FALSE
"603",0.07,0.8,100,0.62,FALSE
"604",0.07,0.8,100,0.63,FALSE
"605",0.07,0.8,100,0.64,FALSE
"606",0.07,0.8,100,0.65,FALSE
"607",0.07,0.8,100,0.66,FALSE
"608",0.07,0.8,100,0.67,FALSE
"609",0.07,0.8,100,0.68,FALSE
"610",0.07,0.8,100,0.69,FALSE
"611",0.07,0.8,100,0.7,FALSE
"612",0.07,0.8,100,0.71,FALSE
"613",0.07,0.8,100,0.72,FALSE
"614",0.07,0.8,100,0.73,FALSE
"615",0.07,0.8,100,0.74,FALSE
"616",0.07,0.8,100,0.75,FALSE
"617",0.07,0.8,100,0.76,FALSE
"618",0.07,0.8,100,0.77,FALSE
"619",0.07,0.8,100,0.78,FALSE
"620",0.07,0.8,100,0.79,FALSE
"621",0.07,0.8,100,0.8,FALSE
"622",0.07,0.8,100,0.81,FALSE
"623",0.07,0.8,100,0.82,FALSE
"624",0.07,0.8,100,0.83,FALSE
"625",0.07,0.8,100,0.84,FALSE
"626",0.07,0.8,100,0.85,FALSE
"627",0.07,0.8,100,0.86,FALSE
"628",0.07,0.8,100,0.87,FALSE
"629",0.07,0.8,100,0.88,FALSE
"630",0.07,0.8,100,0.89,FALSE
"631",0.07,0.8,100,0.9,FALSE
"632",0.08,0.8,100,0.01,TRUE
"633",0.08,0.8,100,0.02,TRUE
"634",0.08,0.8,100,0.03,TRUE
